id,permit_no,permit_date,permit_type,description,status,address,page_number,captured_at
17024,B240338,03/12/2024,Building,"REMODEL HALL BATHROOM, LIKE FOR LIKE.",Finaled,"2873 PTARMIGAN DR, 2, WALCR CA 94595",1419,2026-07-18T09:45:09.038070
17017,B240339,03/13/2024,Building,"NEW DETACHED ADU 742 SQ FT",Finaled,"1291 WALDEN RD, C, WALCR 94597",1419,2026-07-18T09:45:09.038070
17014,B240340,03/13/2024,Building,"STABILIZE FOUNDATION USING 7 PUSH PIERS",Finaled,"2489 SKY RD, WALCR CA 94597",1418,2026-07-18T09:45:03.825406
17013,B240341,03/13/2024,Building,"KITCHEN AND BATH REMODEL, ENCAPSULATE CEILINGS, ADD RECESSED LIGHTED THROUGHOUT",Finaled,"1514 STANLEY DOLLAR DR, 3A, WALCR CA 94595",1418,2026-07-18T09:45:03.825406
16995,R24074,03/13/2024,"Building Revision","REVISION TO B231565: UPGRADING ELECTRICAL PANEL BATHROOM REMODEL","Revision Issued","1691 ALVARADO AVE, 29, WALCR CA 94597",1417,2026-07-18T09:44:56.916613
16994,B240344,03/13/2024,Building,"LIKE FOR LIKE BATHROOM REMODEL",Finaled,"3076 ROSSMOOR PKWY, 1, WALCR CA 94595",1417,2026-07-18T09:44:56.916613
16977,B240348,03/14/2024,Building,"KITCHEN REMODEL",Finaled,"939 NATCHEZ DR, WALCR CA 94598",1415,2026-07-18T09:44:46.356361
16975,B240350,03/14/2024,Building,"BATHROOM REMODEL AND CONVERT ONE BATHROOM INTO TWO BATHROOMS. REPLACE WINDOWS IN BOTH BEDROOMS. LIVING ROOM WINDOW TO PATIO DOOR CONVERSION.",Finaled,"3341 TICE CREEK DR, 6, WALCR CA 94595",1415,2026-07-18T09:44:46.356361
16973,R24077,03/14/2024,"Building Revision","REVISION TO M232027: MAIN PANEL ADDITION 200A Main Panel upgrade 200 to 320A - same location, new meter addition.","Revision Issued","178 ARBOLADO DR, A, WALCR CA 94598",1415,2026-07-18T09:44:46.356361
16966,B240352,03/14/2024,Building,"KITCHEN REMODEL",Finaled,"62 OAK KNOLL CT, WALCR CA 94596",1414,2026-07-18T09:44:41.338102
16964,B240353,03/14/2024,Building,"KITCHEN AND BATH REMODEL, REMOVE POPCORN CEILING, REPLACE ALL WINDOWS, ADD W/D",Finaled,"1161 LEISURE LN, 1, WALCR CA 94595",1414,2026-07-18T09:44:41.338102
16963,B240354,03/14/2024,Building,"SURGICAL CLINIC REMODEL IN EXISTING SUITE FOR ""GOLDEN STATE DERM""",Finaled,"355 LENNON LN, WALCR CA 94598",1414,2026-07-18T09:44:41.338102
16952,B240356,03/15/2024,Building,"NEW ADU 800 SQ FT ATTACHED TO (E) GARAGE",Issued,"1764 THIRD AVE, A, WALNUT CREEK 94596",1413,2026-07-18T09:44:36.300366
16950,B240357,03/15/2024,Building,"ADDITION TO (E) SFR",Finaled,"1764 THIRD AV, WALCR CA 94596",1413,2026-07-18T09:44:36.300366
16946,B240360,03/15/2024,Building,"NEW SFR & CONVERT EXISTING 1600SQ FT SFR TO ADU",Issued,"86 ORCHARD ESTATES DR, WALCR CA 94598",1413,2026-07-18T09:44:36.300366
16942,R24079,03/15/2024,"Building Revision","REMOVE DEMOLITION, REMOVE NEW SFR, REMOVE NEW GARAGE, CONVERSION OF (E) TO ADU, UPDATE BATHROOM DOWNSTAIRS TO B220976",Void,"86 ORCHARD ESTATES DR, WALCR CA 94598",1412,2026-07-18T09:44:29.553093
16940,B240361,03/15/2024,Building,"KITCHEN & BATHROOM REMODEL & PATIO ENCLOSURE",Finaled,"2533 PINE KNOLL DR, 6, WALCR CA 94595",1412,2026-07-18T09:44:29.553093
16939,B240362,03/15/2024,Building,"BATHROOM REMODEL LIKE FOR LIKE",Finaled,"1570 LONGFORD CT, WALCR CA 94598",1412,2026-07-18T09:44:29.553093
16938,B240363,03/15/2024,Building,"REMODEL KITCHEN AND BATHS; RECESSED LIGHTS THROUGHOUT, CEILING FANS, ELECTRICAL PANEL REPLACEMENT; SOLAR TUBE IN BATHROOM, WINDOWS & PATIO DOORS REPLACEMENT; REPLACE GARAGE DOOR.",Finaled,"2609 SAKLAN INDIAN DR, 2, WALCR CA 94595",1412,2026-07-18T09:44:29.553093
16928,B240364,03/18/2024,Building,"ADD BATHROOM, REMODEL BATHROOM, KITCHEN COUNTER TOPS, RECESSED LIGHTING THROUGHOUT, ENCAPSULATE POPCORN CEILING",Finaled,"1163 RUNNING SPRINGS RD, 6, WALCR CA 94595",1411,2026-07-18T09:44:24.707346
16897,B240366,03/19/2024,Building,"KITCHEN REMODEL, BATHROOM REMODEL, ENCLOSE PATIO.",Finaled,"1216 LEISURE LN, 2, WALCR CA 94595",1409,2026-07-18T09:44:14.501672
16890,B240368,03/19/2024,Building,"ADDITION & REMODEL.",Issued,"426 KIT FOX CT, WALCR CA 94598",1408,2026-07-18T09:44:09.653182
16887,M240502-E,03/20/2024,"Online Residential Misc. Electrical","bathroom remodel (like for like)",Void,"154 ARBOLADO DR, WALCR CA 94598",1408,2026-07-18T09:44:09.653182
16868,B240370,03/22/2024,Building,"KITCHEN REMODEL AND UPDATE PANEL",Finaled,"2940 TICE CREEK DR, 2, WALCR CA 94595",1406,2026-07-18T09:43:57.331364
16850,B240372,03/22/2024,Building,"KITCHEN REMODEL",Finaled,"1764 HOLLAND CIR, WALCR CA 94597",1405,2026-07-18T09:43:51.354701
16840,B240373,03/25/2024,Building,"HOUSE REMODEL",Finaled,"316 PICKERING PL, WALCR CA 94598",1404,2026-07-18T09:43:46.491093
16832,B240375,03/25/2024,Building,"GUEST BATH RELOCATE SHOWER HEAD; MASTER BATH REMODEL LIKE FOR LIKE",Finaled,"1001 KNIGHTWOOD CT, WALCR CA 94596",1403,2026-07-18T09:43:39.723864
16826,B240376,03/25/2024,Building,"BATHROOM REMODEL, ADD W/D TO CLOSET, KITCHEN REMODEL WITH NEW APPLIANCES",Finaled,"2209 PINE KNOLL DR, 2, WALCR CA 94595",1403,2026-07-18T09:43:39.723864
16822,B240377,03/25/2024,Building,"KITCHEN, MASTER AND HALL BATH REMODEL, LAUNDRY ROOM, LIGHTING IN DEN",Finaled,"2643 SAKLAN INDIAN DR, 4, WALCR CA 94595",1402,2026-07-18T09:43:33.973296
16818,B240378,03/25/2024,Building,"KITCHEN REMODEL",Finaled,"2119 WILMINGTON DR, WALCR CA 94596",1402,2026-07-18T09:43:33.973296
16817,B240379,03/25/2024,Building,"KITCHEN REMODEL; NEW SHOWER WALLS",Finaled,"1655 N CALIFORNIA BLVD, 337, WALCR CA 94596",1402,2026-07-18T09:43:33.973296
16815,B240382,03/25/2024,Building,"TO FINAL OUT B230093- MINOR WORK TO COMPLETE @ ORIGINAL SCOPE: KITCHEN, BATHROOM REMODEL & ELECTRICAL THROUGHOUT",Finaled,"1251 HOMESTEAD AVE, 151, WALCR CA 94598",1402,2026-07-18T09:43:33.973296
16805,B240386,03/26/2024,Building,"BATHROOM REMODEL",Finaled,"1612 WHITECLIFF WAY, WALCR CA 94596",1401,2026-07-18T09:43:26.826554
16789,B240392,03/26/2024,Building,"BATHROOM REMODEL, LIKE FOR LIKE.",Expired,"489 BEACON RIDGE LN, WALCR CA 94597",1400,2026-07-18T09:43:21.401984
16779,B240393,03/27/2024,Building,"KITCHEN REMODEL; REPLACE SUBPANEL; ADD 220V ELECTRICAL TO GARAGE WALL FOR CAR CHARGING",Finaled,"3520 ROSSMOOR PKWY, 6, WALCR CA 94595",1399,2026-07-18T09:43:14.687607
16778,B240394,03/27/2024,Building,"NEW DETACHED ADU",Finaled,"699 BANYAN LN, A, WALCR 94598",1399,2026-07-18T09:43:14.687607
16771,B240398,03/27/2024,Building,"KITCHEN REMODEL",Finaled,"3341 TICE CREEK DR, 7, WALCR CA 94595",1398,2026-07-18T09:43:09.431750
16759,B240403,03/27/2024,Building,"KITCHEN REMODEL",Finaled,"3165 ECCLESTON AVE, WALCR CA 94597",1397,2026-07-18T09:43:02.734849
16736,B240410,03/28/2024,Building,"SHOWER REMODEL",Finaled,"2001 SKYCREST DR, 1, WALCR CA 94595",1395,2026-07-18T09:42:53.712385
16734,B240411,03/28/2024,Building,"PRIMARY BATH REMODEL",Finaled,"5213 TERRA GRANADA DR, 2B, WALCR CA 94595",1395,2026-07-18T09:42:53.712385
16733,B240412,03/28/2024,Building,"PRIMARY BATHROOM REMODEL",Finaled,"5954 AUTUMNWOOD DR, 2A, WALCR CA 94595",1395,2026-07-18T09:42:53.712385
16719,B240416,03/29/2024,Building,"KITCHEN REMODEL (REMOVAL OF LOAD BEARING WALL, NEW WINDOW & SKYLIGHT)",Finaled,"3280 NEWPORT CT, WALCR CA 94598",1394,2026-07-18T09:42:48.454448
16709,B240418,03/29/2024,Building,"BATHROOM REMODEL",Finaled,"154 ARBOLADO DR, WALCR CA 94598",1393,2026-07-18T09:42:43.976608
16706,B240420,03/29/2024,Building,"MASTER AND HALL BATH REMODEL; KITCHEN REMODEL; REPLACE CABINETS OVER WASHER; LIGHTING AND ELECTRICAL FIRE PLACE",Finaled,"3535 TERRA GRANADA DR, 1B, WALCR CA 94595",1393,2026-07-18T09:42:43.976608
16705,B240421,03/29/2024,Building,"KITCHEN REMODEL LIKE FOR LIKE; REPLACE (5) WINDOWS AND (4) SLIDERS, (3) SKYLIGHTS; 2 HEAD MINI SPLIT",Void,"2617 SAN BENITO DR, WALCR CA 94598",1393,2026-07-18T09:42:43.976608
16683,B240424,04/01/2024,Building,"HALL BATHROOM REMODEL",Finaled,"1738 STANLEY DOLLAR DR, 4B, WALCR CA 94595",1391,2026-07-18T09:42:32.004804
16673,B240426,04/01/2024,Building,"ENTIRE UNIT REMODEL - KITCHEN COUNTER TOPS, REPLACE WINDOWS, REMODEL BATHROOM, ADD SECOND BATH, RECESSED LIGHTS THROUGHOUT, NEW STACKABLE LAUNDRY, NEW DOOR",Expired,"1349 RUNNING SPRINGS RD, 8, WALCR CA 94595",1390,2026-07-18T09:42:26.445511
16671,B240427,04/01/2024,Building,"REMODELING KITCHEN AND LAUNDRY ROOM W/ A WATER CLOSET, ELECTRICAL AND PLUMBING FEATURES",Finaled,"3114 DEERPARK DR, WALCR CA 94598",1390,2026-07-18T09:42:26.445511
16646,B240429,04/02/2024,Building,"INTERIOR REMODEL; FAMILY ROOM, KITCHEN, BATHROOMS (2)",Finaled,"202 CONIFER LN, WALCR CA 94598",1388,2026-07-18T09:42:16.634177
16645,B240430,04/02/2024,Building,"DETACHED ADU - 985 SQ. FT.",Issued,"2231 BUENA VISTA AVE, WALCR CA 94597",1388,2026-07-18T09:42:16.634177
16642,B240431,04/02/2024,Building,"DETACHED ADU - 992 SQ. FT.",Issued,"2231 BUENA VISTA AVE, WALCR CA 94597",1387,2026-07-18T09:42:10.820082
16639,B240432,04/02/2024,Building,"ADDITION OF (N) MAIN BEDROOM ABOVE (E) GARAGE, ADDITION OF (N) LAUNDRY ROOM, REMODEL (E) KITCHEN AND LIVING/DINING ROOM.",Finaled,"1502 PIEDRA DR, WALCR CA 94597",1387,2026-07-18T09:42:10.820082
16634,B240433,04/02/2024,Building,"MASTER BATHROOM REMODEL LIKE FOR LIKE",Finaled,"2850 LAVENDER DR, WALCR CA 94596",1387,2026-07-18T09:42:10.820082
16627,B240434,04/03/2024,Building,"STABILIZE FOUNDATION USING 10 SCREW JACKS",Finaled,"1566 SUNNYVALE AVE, WALCR CA 94597",1386,2026-07-18T09:42:05.828969
16626,B240435,04/03/2024,Building,"STABILIZE FOUNDATION USING 2 PUSH PIERS",Finaled,"2453 PROVIDENCE CT, WALCR CA 94596",1386,2026-07-18T09:42:05.828969
16625,B240436,04/03/2024,Building,"BATHROOM REMODEL - NEW VANITY, LIGHTS AND TOILET",Expired,"3216 VALLEY VISTA RD, WALCR CA 94598",1386,2026-07-18T09:42:05.828969
16623,B240438,04/03/2024,Building,"2 BATH REMODELS",Finaled,"2631 SAKLAN INDIAN DR, 4, WALCR CA 94595",1386,2026-07-18T09:42:05.828969
16612,P24025,04/03/2024,"Pool or Spa","POOL REMODEL: DRAIN, TILE, REPLUMB, MAIN DRAINS, LIGHT, REPLASTER",Finaled,"2739 LARIAT LN, WALCR CA 94596",1385,2026-07-18T09:42:01.128966
16611,B240442,04/03/2024,Building,"SECOND FLOOR BATHROOM REMODEL",Finaled,"606 PREAKNESS DR, WALCR CA 94597",1385,2026-07-18T09:42:01.128966
16610,R24095,04/03/2024,"Building Revision","REVISION TO B240228: ELECTRICAL RE-WIRING OF THE ENTIRE HOUSE KITCHEN & (3) BATHROOM REMODEL LIKE FOR LIKE; UPGRADE ELECTRICAL PANEL","Revision Issued","154 GROVER LN, WALCR CA 94596",1385,2026-07-18T09:42:01.128966
16606,R24096,04/03/2024,"Building Revision to Issued Permit","CHANGE FOUNDATION TO SLAB ON GRADE FROM RAISED FLOOR WITH CRAWLSPACE - REVISION TO B231094","Revision Issued","695 ROCKCREEK CT, WALCR CA 94598",1384,2026-07-18T09:41:54.782651
16599,B240444,04/04/2024,"Building New Construction, Additions, Alterations or Sign","(N) ATTACHED ADU",Void,"2832 FYNE DR, WALCR CA 94598",1384,2026-07-18T09:41:54.782651
16594,B240445,04/04/2024,"Building New Construction, Additions, Alterations or Sign","HALL BATHROOM REMODEL",Finaled,"2466 MALLARD DR, WALCR CA 94597",1383,2026-07-18T09:41:50.733211
16593,B240446,04/04/2024,"Building New Construction, Additions, Alterations or Sign","2 BATH REMODEL",Finaled,"1935 FALLEN OAK CT, WALCR CA 94595",1383,2026-07-18T09:41:50.733211
16590,R24097,04/04/2024,"Building Revision to Issued Permit","ADDITION REDUCED BY APPROX. 3' 6"", DEMOLITION SCOPE REDUCED TO MAINTAIN MORE EXISTING WALLS - REVISION TO B231026","Revision Issued","809 HUTCHINSON RD, WALCR CA 94598",1383,2026-07-18T09:41:50.733211
16580,R24098,04/04/2024,"Building Revision to Issued Permit","CHANGE FOUNDATION TO PIERS - REVISION TO B240155","Revision Issued","590 BANYAN LN, WALCR CA 94598",1382,2026-07-18T09:41:45.391785
16577,B240449,04/05/2024,"Building New Construction, Additions, Alterations or Sign","GUEST BATHROOM REMODELING, LIKE FOR LIKE. NEW VANITY, COUNTERTOPS AND PLUMBING FIXTURES TO BE INSTALL ON EXISTING LOCATION.",Finaled,"227 DANTLEY WAY, WALCR CA 94598",1382,2026-07-18T09:41:45.391785
16574,B240450,04/05/2024,"Building New Construction, Additions, Alterations or Sign","BATHROOM REMODEL",Finaled,"180 VIA DEL SOL, WALCR CA 94597",1382,2026-07-18T09:41:45.391785
16570,R24099,04/05/2024,"Building Revision to Issued Permit","REVISION TO B231410 REPLACED EXISTING FURNACE/CONDENSER WITH (N) BRYANT 96% EFFICIENCY & 16 SEER CONDENSER UNIT REMODEL & EV CHARGER.","Revision Issued","1727 COMSTOCK DR, WALCR CA 94595",1381,2026-07-18T09:41:39.016515
16562,B240455,04/05/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL",Finaled,"703 TERRA CALIFORNIA DR, 1, WALCR CA 94595",1381,2026-07-18T09:41:39.016515
16555,B240459,04/05/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL - LIKE FOR LIKE",Finaled,"140 LANCASTER RD, WALCR CA 94595",1380,2026-07-18T09:41:34.716988
16546,B240461,04/05/2024,"Building New Construction, Additions, Alterations or Sign","KTICHEN REMODEL",Finaled,"1404 STANLEY DOLLAR DR, 3B, WALCR CA 94595",1379,2026-07-18T09:41:28.486986
16545,B240462,04/05/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL LIKE FOR LIKE",Finaled,"544 ADIRONDACK WAY, WALCR CA 94598",1379,2026-07-18T09:41:28.486986
16525,B240465,04/07/2024,"Building New Construction, Additions, Alterations or Sign","INTERIOR REMODELING OF AN EXISTING BUILDING TO MODIFY THE INTERIOR LAYOUT OF THE KITCHEN, BATHROOM",Finaled,"1691 PTARMIGAN DR, 1A, WALCR CA 94595",1378,2026-07-18T09:41:24.392154
16521,B240467,04/08/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL, BATHROOM REMODEL, NEW FLOORING, NEW LIGHT FIXTURES",Finaled,"1940 GOLDEN RAIN RD, 1, WALCR CA 94595",1377,2026-07-18T09:41:19.453242
16513,B240470,04/08/2024,"Building New Construction, Additions, Alterations or Sign","INTERIOR KITCHEN & LAUNDRY REMODEL",Finaled,"2045 PINE KNOLL DR, 8, WALCR CA 94595",1377,2026-07-18T09:41:19.453242
16509,B240471,04/08/2024,"Building New Construction, Additions, Alterations or Sign","Bathroom Remodel",Finaled,"1550 STANLEY DOLLAR DR, 4B, WALCR CA 94595",1376,2026-07-18T09:41:14.252473
16504,B240472,04/08/2024,"Building New Construction, Additions, Alterations or Sign","Remodel of kitchen, both bathrooms, new flooring, remove T-bar ceiling in hallway and install new sheetrock ceiling.",Expired,"370 N CIVIC DR, 406, WALCR CA 94596",1376,2026-07-18T09:41:14.252473
16494,B240477,04/08/2024,"Building New Construction, Additions, Alterations or Sign","HALL BATH REMODEL",Finaled,"3027 GREY EAGLE DR, WALCR CA 94595",1375,2026-07-18T09:41:09.324896
16490,B240481,04/08/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL, SUBPANEL UPGRADE 100AMP, RECESSED LIGHTING",Finaled,"2157 PTARMIGAN DR, 2, WALCR CA 94595",1375,2026-07-18T09:41:09.324896
16486,B240483,04/08/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL",Finaled,"5910 HORSEMANS CANYON DR, 6A, WALCR CA 94595",1374,2026-07-18T09:41:03.759963
16478,B240486,04/09/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL",Finaled,"747 WOODWIND PL, WALCR CA 94598",1374,2026-07-18T09:41:03.759963
16472,B240488,04/09/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN AND BATHROOM REMODEL; ADD GARAGE SINK; UPGRADE ELECTRICAL PANEL; INSTALL RECESSED LIGHTS",Finaled,"819 TERRA CALIFORNIA DR, 1, WALCR CA 94595",1373,2026-07-18T09:40:58.730159
16471,B240489,04/09/2024,"Building New Construction, Additions, Alterations or Sign","ADDITION AND KITCHEN REMODEL",Finaled,"31 FOREST HILLS CT, WALCR CA 94597",1373,2026-07-18T09:40:58.730159
16465,R24104,04/09/2024,"Building Revision to Issued Permit","CONVERSION OF SHALLOW FOUNDATION DESIGN TO DEEP FOUNDATION TO BE CONSISTENT WITH (E) CONDTIION OF FOUNDATION - REVISION TO B231482","Revision Issued","3623 SUGARBERRY LN, WALCR CA 94598",1373,2026-07-18T09:40:58.730159
16443,M240660,04/09/2024,"Mechanical, Electrical, or Plumbing Only","Kitchen Remodel like as like Remove cabinets and appliances and install new cabinets and appliances. Safe and reuse refrig",Void,"613 FOXWOOD WAY, WALCR CA 94595",1371,2026-07-18T09:40:47.223135
16420,B240504,04/10/2024,"Building New Construction, Additions, Alterations or Sign","Primary Bath Partial Remodel",Finaled,"2641 GOLDEN RAIN RD, 8, WALCR CA 94595",1369,2026-07-18T09:40:36.179515
