id,address,city,building_permit_count_24m,major_project_type
76277,161 VIRGINIA LN,ALAMO,356,
80626,1659 OAK VIEW AVE,KNSTN,356,
112046,2 SEA CLIFF PL,BAYPT,356,
123594,21 NORWOOD AVE,KNSTN,356,
135535,221 HEMME AVE,ALAMO,356,
142578,23 KIRKWOOD CT,CONCORD,356,
156436,2461 EDEN PLAINS RD,BRTWD,356,
182541,2842 ACACIA RD,LAFAYETTE,356,
200952,3119 STONEGATE DR,ALAMO,356,
202656,314 SILVER AVE,RCHMD,356,"NEW 1000 SQ FT DETACHED ADU, SPRINKLERS REQUIRED Contractor NUMBER TYPE STATUS ISSUED VALUATION DESCRIPTION SQ FT PARCEL ADDRESS CITY"
268371,469 VALLEJO AVE,RODEO,356,"47 sf addition , master bath like for like WALNUT CREEK, CA 94597"
314832,6125 ARLINGTON BLVD,RCHMD,356,
341609,80 SUGARLOAF LN,ALAMO,356,
2212,100 DANIEL DR,ALAMO,355,
6587,102 BRIA CT,WALNUT CREEK,355,
6998,1020 PETITE SIRAH WAY,KNTSN,355,
18288,110 VALLEY HILL DR,MORAGA,355,
21647,112 IRONGATE CT,ALAMO,355,
29333,1180 TEMPLE DR,PACH,355,
30069,1190 ELMWOOD DR,WALNUT CREEK,355,
31268,120 DEER RIDGE PL,DAN,355,
32617,1204 LINDELL DR,WALNUT CREEK,355,
34148,1212 RAYMOND DR,PACH,355,
39520,1253 FLORA ST,CRCKT,355,
41912,128 WELLINGTON AVE,CLYDE,355,
42071,1281 MONTEROSSO ST,DAN,355,
45205,1309 7TH ST,RODEO,355,
56534,141 POINSETTIA AVE,BAYPT,355,
60048,1441 DONALD AVE,MRTNZ,355,
66382,1509 EMMONS CANYON DR,ALAMO,355,
69218,1532 ST ALPHONSUS WAY,ALAMO,355,
70833,155 RIDGE RD,ALAMO,355,
71647,156 RUSSELL DR,WALNUT CREEK,355,
82645,169 OAK RD,ALAMO,355,
89373,1755 TICE VALLEY BLVD,WALNUT CREEK,355,
90902,1777 DOLPHIN PL,DISBY,355,
93052,180 ENES AVE,BAYPT,355,
97901,1840 ANCHORAGE WAY,DISBY,355,
103010,19 SANDSTONE CT,ALAMO,355,
104633,1910 FERTADO LN,BRTWD,355,
105370,1917 MEADOW RD,WALNUT CREEK,355,
112352,20 CARMELLO RD,WALNUT CREEK,355,
112378,20 CHERRY HILLS CT,ALAMO,355,
112778,20 MORNINGSIDE PL,ALAMO,355,
113602,200 SOUTH CT,ALAMO,355,
119839,2055 CYPRESS PT,DISBY,355,
123264,21 CHESTNUT PL,DAN,355,
123825,21 WESTMINSTER AVE,KNSTN,355,
125322,2109 CARMENERE ST,DAN,355,
126279,2115 CANYON OAK LN,DAN,355,
130931,216 CAROLOS DR,PACH,355,
132578,218 YALE AVE,KNSTN,355,
132760,2183 GRANITE DR,ALAMO,355,
134305,220 SECLUSION VALLEY WAY,LAFAYETTE,355,
135288,2208 WHYTE PARK AVE,WALNUT CREEK,355,
139561,225 SUSSEX ST,CLYDE,355,
140013,2257 COVE CT,DISBY,355,
140575,2264 CABALLO RANCHERO CT,DBLO,355,
149936,2385 HOLLY OAK DR,DAN,355,
152503,2410 FORDHAM ST,SNPAB,355,
156601,2465 LUNADA LN,ALAMO,355,
157531,2482 COVE PL,DISBY,355,
165650,26 SUGAR PINE LN,DAN,355,
172483,27 WANDA WAY,MRTNZ,355,
173558,2709 OAK RD G,WALNUT CREEK,355,
178047,278 CHANNI LOOP,DAN,355,
179580,2805 ARUNDEL WAY,SNPAB,355,
202581,314 HARRIS AVE,RODEO,355,
204567,3171 LIPPIZANER LN,WALNUT CREEK,355,
205395,319 POWELL DR,BAYPT,355,
208961,324 JOAN VISTA,ELSOB,355,
221244,349 SOUTH AVE,ALAMO,355,
225969,36 COOKE AVE,CRCKT,355,
229111,3671 DELTA COVES DR,BTHIS,355,
240831,400 LIVE OAK DR,DAN,355,
242699,4028 STONE RD,BTHIS,355,
245347,4088 SUGAR MAPLE DR,DAN,355,
247516,412 TRADEWINDS CT,BAYPT,355,
249641,418 AZORES CIR,BAYPT,355,
250229,42 EDGEVIEW CT,DISBY,355,
251759,4225 FRANKLIN CANYON RD,MRTNZ,355,
252837,4255 MORGAN TERRITORY RD,CLYTN,355,
